fill	x	y	xmin	xmax	ymin	ymax
#000000	0	0	-0.125	0.125	-2.5	2.5
#444444	0.25	0	0.125	0.375	-2.5	2.5
#A8A8A8	0.75	0	0.625	0.875	-2.5	2.5
#FFFFFF	-1.75	0	-1.875	-1.625	-2.5	2.5
#6F6F6F	0.5	0	0.375	0.625	-2.5	2.5
#454545	-0.25	0	-0.375	-0.125	-2.5	2.5
#727272	-0.5	0	-0.625	-0.375	-2.5	2.5
#C0C0C0	-1	0	-1.125	-0.875	-2.5	2.5
#9D9D9D	1	0	0.875	1.125	-2.5	2.5
#C0C0C0	2.5	0	2.375	2.625	-2.5	2.5
#DFDFDF	1.25	0	1.125	1.375	-2.5	2.5
#9D9D9D	-0.75	0	-0.875	-0.625	-2.5	2.5
#DFDFDF	1.5	0	1.375	1.625	-2.5	2.5
#FFFFFF	-2.5	0	-2.625	-2.375	-2.5	2.5
#FFFFFF	2.25	0	2.125	2.375	-2.5	2.5
#FFFFFF	4	0	3.875	4.125	-2.5	2.5
#FFFFFF	-1.25	0	-1.375	-1.125	-2.5	2.5
#FFFFFF	-4.75	0	-4.875	-4.625	-2.5	2.5
#FFFFFF	-1.5	0	-1.625	-1.375	-2.5	2.5
#727272	1.25	15	1.125	1.375	12.5	17.5
#FFFFFF	2.25	5	2.125	2.375	2.5	7.5
#949494	1.25	10	1.125	1.375	7.5	12.5
#FFFFFF	1.5	10	1.375	1.625	7.5	12.5
#DFDFDF	1.25	5	1.125	1.375	2.5	7.5
#FFFFFF	1.75	10	1.625	1.875	7.5	12.5
#FFFFFF	1.5	5	1.375	1.625	2.5	7.5
#FFFFFF	-3.5	0	-3.625	-3.375	-2.5	2.5
#626262	-1	15	-1.125	-0.875	12.5	17.5
#CDCDCD	-1.25	15	-1.375	-1.125	12.5	17.5
#8D8D8D	-1	10	-1.125	-0.875	7.5	12.5
#FFFFFF	-1.25	10	-1.375	-1.125	7.5	12.5
