group	fill	colour	x	y	clickSelects
781	#FFFFFF	#D3D3D3	-5.45	0	1
781	#FFFFFF	#D3D3D3	-5	0.45	1
781	#FFFFFF	#D3D3D3	-4.55	0	1
781	#FFFFFF	#D3D3D3	-5	-0.45	1
781	#FFFFFF	#D3D3D3	-5.45	0	1
654	#FFFFFF	#D3D3D3	-4.95	0.5	1
654	#FFFFFF	#D3D3D3	-4.5	0.95	1
654	#FFFFFF	#D3D3D3	-4.05	0.5	1
654	#FFFFFF	#D3D3D3	-4.5	0.05	1
654	#FFFFFF	#D3D3D3	-4.95	0.5	1
653	#FFFFFF	#D3D3D3	-4.45	1	1
653	#FFFFFF	#D3D3D3	-4	1.45	1
653	#FFFFFF	#D3D3D3	-3.55	1	1
653	#FFFFFF	#D3D3D3	-4	0.55	1
653	#FFFFFF	#D3D3D3	-4.45	1	1
293	#FFFFFF	#D3D3D3	-3.95	1.5	1
293	#FFFFFF	#D3D3D3	-3.5	1.95	1
293	#FFFFFF	#D3D3D3	-3.05	1.5	1
293	#FFFFFF	#D3D3D3	-3.5	1.05	1
293	#FFFFFF	#D3D3D3	-3.95	1.5	1
291	#FFFFFF	#D3D3D3	-3.45	2	1
291	#FFFFFF	#D3D3D3	-3	2.45	1
291	#FFFFFF	#D3D3D3	-2.55	2	1
291	#FFFFFF	#D3D3D3	-3	1.55	1
291	#FFFFFF	#D3D3D3	-3.45	2	1
58	#FFFFFF	#D3D3D3	-2.95	2.5	1
58	#FFFFFF	#D3D3D3	-2.5	2.95	1
58	#FFFFFF	#D3D3D3	-2.05	2.5	1
58	#FFFFFF	#D3D3D3	-2.5	2.05	1
58	#FFFFFF	#D3D3D3	-2.95	2.5	1
10	#FFFFFF	#D3D3D3	-1.95	3.5	1
10	#FFFFFF	#D3D3D3	-1.5	3.95	1
10	#FFFFFF	#D3D3D3	-1.05	3.5	1
10	#FFFFFF	#D3D3D3	-1.5	3.05	1
10	#FFFFFF	#D3D3D3	-1.95	3.5	1
7	#FFFFFF	#D3D3D3	-1.45	4	1
7	#FFFFFF	#D3D3D3	-1	4.45	1
7	#FFFFFF	#D3D3D3	-0.55	4	1
7	#FFFFFF	#D3D3D3	-1	3.55	1
7	#FFFFFF	#D3D3D3	-1.45	4	1
4	#FFFFFF	#D3D3D3	-0.95	4.5	1
4	#FFFFFF	#D3D3D3	-0.5	4.95	1
4	#FFFFFF	#D3D3D3	-0.05	4.5	1
4	#FFFFFF	#D3D3D3	-0.5	4.05	1
4	#FFFFFF	#D3D3D3	-0.95	4.5	1
786	#FFFFFF	#D3D3D3	-0.45	5	1
786	#FFFFFF	#D3D3D3	0	5.45	1
786	#FFFFFF	#D3D3D3	0.45	5	1
786	#FFFFFF	#D3D3D3	0	4.55	1
786	#FFFFFF	#D3D3D3	-0.45	5	1
791	#FFFFFF	#D3D3D3	0.05	5.5	1
791	#FFFFFF	#D3D3D3	0.5	5.95	1
791	#FFFFFF	#D3D3D3	0.95	5.5	1
791	#FFFFFF	#D3D3D3	0.5	5.05	1
791	#FFFFFF	#D3D3D3	0.05	5.5	1
797	#FFFFFF	#D3D3D3	0.55	6	1
797	#FFFFFF	#D3D3D3	1	6.45	1
797	#FFFFFF	#D3D3D3	1.45	6	1
797	#FFFFFF	#D3D3D3	1	5.55	1
797	#FFFFFF	#D3D3D3	0.55	6	1
803	#FFFFFF	#D3D3D3	1.05	6.5	1
803	#FFFFFF	#D3D3D3	1.5	6.95	1
803	#FFFFFF	#D3D3D3	1.95	6.5	1
803	#FFFFFF	#D3D3D3	1.5	6.05	1
803	#FFFFFF	#D3D3D3	1.05	6.5	1
810	#FFFFFF	#D3D3D3	1.55	7	1
810	#FFFFFF	#D3D3D3	2	7.45	1
810	#FFFFFF	#D3D3D3	2.45	7	1
810	#FFFFFF	#D3D3D3	2	6.55	1
810	#FFFFFF	#D3D3D3	1.55	7	1
817	#FFFFFF	#D3D3D3	2.05	7.5	1
817	#FFFFFF	#D3D3D3	2.5	7.95	1
817	#FFFFFF	#D3D3D3	2.95	7.5	1
817	#FFFFFF	#D3D3D3	2.5	7.05	1
817	#FFFFFF	#D3D3D3	2.05	7.5	1
825	#FFFFFF	#D3D3D3	2.55	8	1
825	#FFFFFF	#D3D3D3	3	8.45	1
825	#FFFFFF	#D3D3D3	3.45	8	1
825	#FFFFFF	#D3D3D3	3	7.55	1
825	#FFFFFF	#D3D3D3	2.55	8	1
833	#FFFFFF	#D3D3D3	3.05	8.5	1
833	#FFFFFF	#D3D3D3	3.5	8.95	1
833	#FFFFFF	#D3D3D3	3.95	8.5	1
833	#FFFFFF	#D3D3D3	3.5	8.05	1
833	#FFFFFF	#D3D3D3	3.05	8.5	1
842	#FFFFFF	#D3D3D3	3.55	9	1
842	#FFFFFF	#D3D3D3	4	9.45	1
842	#FFFFFF	#D3D3D3	4.45	9	1
842	#FFFFFF	#D3D3D3	4	8.55	1
842	#FFFFFF	#D3D3D3	3.55	9	1
851	#FFFFFF	#D3D3D3	4.05	9.5	1
851	#FFFFFF	#D3D3D3	4.5	9.95	1
851	#FFFFFF	#D3D3D3	4.95	9.5	1
851	#FFFFFF	#D3D3D3	4.5	9.05	1
851	#FFFFFF	#D3D3D3	4.05	9.5	1
854	#FFFFFF	#D3D3D3	4.55	10	1
854	#FFFFFF	#D3D3D3	5	10.45	1
854	#FFFFFF	#D3D3D3	5.45	10	1
854	#FFFFFF	#D3D3D3	5	9.55	1
854	#FFFFFF	#D3D3D3	4.55	10	1
652	#FFFFFF	#D3D3D3	-4.45	0	1
652	#FFFFFF	#D3D3D3	-4	0.45	1
652	#FFFFFF	#D3D3D3	-3.55	0	1
652	#FFFFFF	#D3D3D3	-4	-0.45	1
652	#FFFFFF	#D3D3D3	-4.45	0	1
292	#FFFFFF	#D3D3D3	-3.95	0.5	14
292	#FFFFFF	#D3D3D3	-3.5	0.95	14
292	#FFFFFF	#D3D3D3	-3.05	0.5	14
292	#FFFFFF	#D3D3D3	-3.5	0.05	14
292	#FFFFFF	#D3D3D3	-3.95	0.5	14
290	#FFFFFF	#D3D3D3	-3.45	1	1
290	#FFFFFF	#D3D3D3	-3	1.45	1
290	#FFFFFF	#D3D3D3	-2.55	1	1
290	#FFFFFF	#D3D3D3	-3	0.55	1
290	#FFFFFF	#D3D3D3	-3.45	1	1
57	#FFFFFF	#D3D3D3	-2.95	1.5	1
57	#FFFFFF	#D3D3D3	-2.5	1.95	1
57	#FFFFFF	#D3D3D3	-2.05	1.5	1
57	#FFFFFF	#D3D3D3	-2.5	1.05	1
57	#FFFFFF	#D3D3D3	-2.95	1.5	1
55	#FFFFFF	#D3D3D3	-2.45	2	1
55	#FFFFFF	#D3D3D3	-2	2.45	1
55	#FFFFFF	#D3D3D3	-1.55	2	1
55	#FFFFFF	#D3D3D3	-2	1.55	1
55	#FFFFFF	#D3D3D3	-2.45	2	1
3	#FFFFFF	#D3D3D3	-0.95	3.5	1
3	#FFFFFF	#D3D3D3	-0.5	3.95	1
3	#FFFFFF	#D3D3D3	-0.05	3.5	1
3	#FFFFFF	#D3D3D3	-0.5	3.05	1
3	#FFFFFF	#D3D3D3	-0.95	3.5	1
785	#FFFFFF	#D3D3D3	-0.45	4	1
785	#FFFFFF	#D3D3D3	0	4.45	1
785	#FFFFFF	#D3D3D3	0.45	4	1
785	#FFFFFF	#D3D3D3	0	3.55	1
785	#FFFFFF	#D3D3D3	-0.45	4	1
790	#FFFFFF	#D3D3D3	0.05	4.5	1
790	#FFFFFF	#D3D3D3	0.5	4.95	1
790	#FFFFFF	#D3D3D3	0.95	4.5	1
790	#FFFFFF	#D3D3D3	0.5	4.05	1
790	#FFFFFF	#D3D3D3	0.05	4.5	1
796	#FFFFFF	#D3D3D3	0.55	5	1
796	#FFFFFF	#D3D3D3	1	5.45	1
796	#FFFFFF	#D3D3D3	1.45	5	1
796	#FFFFFF	#D3D3D3	1	4.55	1
796	#FFFFFF	#D3D3D3	0.55	5	1
802	#FFFFFF	#D3D3D3	1.05	5.5	1
802	#FFFFFF	#D3D3D3	1.5	5.95	1
802	#FFFFFF	#D3D3D3	1.95	5.5	1
802	#FFFFFF	#D3D3D3	1.5	5.05	1
802	#FFFFFF	#D3D3D3	1.05	5.5	1
809	#FFFFFF	#D3D3D3	1.55	6	1
809	#FFFFFF	#D3D3D3	2	6.45	1
809	#FFFFFF	#D3D3D3	2.45	6	1
809	#FFFFFF	#D3D3D3	2	5.55	1
809	#FFFFFF	#D3D3D3	1.55	6	1
816	#FFFFFF	#D3D3D3	2.05	6.5	1
816	#FFFFFF	#D3D3D3	2.5	6.95	1
816	#FFFFFF	#D3D3D3	2.95	6.5	1
816	#FFFFFF	#D3D3D3	2.5	6.05	1
816	#FFFFFF	#D3D3D3	2.05	6.5	1
824	#FFFFFF	#D3D3D3	2.55	7	1
824	#FFFFFF	#D3D3D3	3	7.45	1
824	#FFFFFF	#D3D3D3	3.45	7	1
824	#FFFFFF	#D3D3D3	3	6.55	1
824	#FFFFFF	#D3D3D3	2.55	7	1
832	#FFFFFF	#D3D3D3	3.05	7.5	1
832	#FFFFFF	#D3D3D3	3.5	7.95	1
832	#FFFFFF	#D3D3D3	3.95	7.5	1
832	#FFFFFF	#D3D3D3	3.5	7.05	1
832	#FFFFFF	#D3D3D3	3.05	7.5	1
841	#FFFFFF	#D3D3D3	3.55	8	1
841	#FFFFFF	#D3D3D3	4	8.45	1
841	#FFFFFF	#D3D3D3	4.45	8	1
841	#FFFFFF	#D3D3D3	4	7.55	1
841	#FFFFFF	#D3D3D3	3.55	8	1
850	#FFFFFF	#D3D3D3	4.05	8.5	1
850	#FFFFFF	#D3D3D3	4.5	8.95	1
850	#FFFFFF	#D3D3D3	4.95	8.5	1
850	#FFFFFF	#D3D3D3	4.5	8.05	1
850	#FFFFFF	#D3D3D3	4.05	8.5	1
861	#FFFFFF	#D3D3D3	4.55	9	1
861	#FFFFFF	#D3D3D3	5	9.45	1
861	#FFFFFF	#D3D3D3	5.45	9	1
861	#FFFFFF	#D3D3D3	5	8.55	1
861	#FFFFFF	#D3D3D3	4.55	9	1
289	#FFFFFF	#D3D3D3	-3.45	0	1
289	#FFFFFF	#D3D3D3	-3	0.45	1
289	#FFFFFF	#D3D3D3	-2.55	0	1
289	#FFFFFF	#D3D3D3	-3	-0.45	1
289	#FFFFFF	#D3D3D3	-3.45	0	1
56	#FFFFFF	#D3D3D3	-2.95	0.5	1
56	#FFFFFF	#D3D3D3	-2.5	0.95	1
56	#FFFFFF	#D3D3D3	-2.05	0.5	1
56	#FFFFFF	#D3D3D3	-2.5	0.05	1
56	#FFFFFF	#D3D3D3	-2.95	0.5	1
54	#FFFFFF	#D3D3D3	-2.45	1	1
54	#FFFFFF	#D3D3D3	-2	1.45	1
54	#FFFFFF	#D3D3D3	-1.55	1	1
54	#FFFFFF	#D3D3D3	-2	0.55	1
54	#FFFFFF	#D3D3D3	-2.45	1	1
9	#FFFFFF	#D3D3D3	-1.95	1.5	1
9	#FFFFFF	#D3D3D3	-1.5	1.95	1
9	#FFFFFF	#D3D3D3	-1.05	1.5	1
9	#FFFFFF	#D3D3D3	-1.5	1.05	1
9	#FFFFFF	#D3D3D3	-1.95	1.5	1
2	#FFFFFF	#D3D3D3	-0.95	2.5	1
2	#FFFFFF	#D3D3D3	-0.5	2.95	1
2	#FFFFFF	#D3D3D3	-0.05	2.5	1
2	#FFFFFF	#D3D3D3	-0.5	2.05	1
2	#FFFFFF	#D3D3D3	-0.95	2.5	1
784	#FFFFFF	#D3D3D3	-0.45	3	1
784	#FFFFFF	#D3D3D3	0	3.45	1
784	#FFFFFF	#D3D3D3	0.45	3	1
784	#FFFFFF	#D3D3D3	0	2.55	1
784	#FFFFFF	#D3D3D3	-0.45	3	1
789	#FFFFFF	#D3D3D3	0.05	3.5	1
789	#FFFFFF	#D3D3D3	0.5	3.95	1
789	#FFFFFF	#D3D3D3	0.95	3.5	1
789	#FFFFFF	#D3D3D3	0.5	3.05	1
789	#FFFFFF	#D3D3D3	0.05	3.5	1
795	#FFFFFF	#D3D3D3	0.55	4	1
795	#FFFFFF	#D3D3D3	1	4.45	1
795	#FFFFFF	#D3D3D3	1.45	4	1
795	#FFFFFF	#D3D3D3	1	3.55	1
795	#FFFFFF	#D3D3D3	0.55	4	1
801	#FFFFFF	#D3D3D3	1.05	4.5	1
801	#FFFFFF	#D3D3D3	1.5	4.95	1
801	#FFFFFF	#D3D3D3	1.95	4.5	1
801	#FFFFFF	#D3D3D3	1.5	4.05	1
801	#FFFFFF	#D3D3D3	1.05	4.5	1
808	#FFFFFF	#D3D3D3	1.55	5	1
808	#FFFFFF	#D3D3D3	2	5.45	1
808	#FFFFFF	#D3D3D3	2.45	5	1
808	#FFFFFF	#D3D3D3	2	4.55	1
808	#FFFFFF	#D3D3D3	1.55	5	1
815	#FFFFFF	#D3D3D3	2.05	5.5	1
815	#FFFFFF	#D3D3D3	2.5	5.95	1
815	#FFFFFF	#D3D3D3	2.95	5.5	1
815	#FFFFFF	#D3D3D3	2.5	5.05	1
815	#FFFFFF	#D3D3D3	2.05	5.5	1
823	#FFFFFF	#D3D3D3	2.55	6	1
823	#FFFFFF	#D3D3D3	3	6.45	1
823	#FFFFFF	#D3D3D3	3.45	6	1
823	#FFFFFF	#D3D3D3	3	5.55	1
823	#FFFFFF	#D3D3D3	2.55	6	1
831	#FFFFFF	#D3D3D3	3.05	6.5	1
831	#FFFFFF	#D3D3D3	3.5	6.95	1
831	#FFFFFF	#D3D3D3	3.95	6.5	1
