group	fill	x	y	clickSelects
773	#FFFFFF	-44.95	10.5	1
773	#FFFFFF	-44.5	10.95	1
773	#FFFFFF	-44.05	10.5	1
773	#FFFFFF	-44.5	10.05	1
773	#FFFFFF	-44.95	10.5	1
763	#FFFFFF	-44.45	11	1
763	#FFFFFF	-44	11.45	1
763	#FFFFFF	-43.55	11	1
763	#FFFFFF	-44	10.55	1
763	#FFFFFF	-44.45	11	1
752	#FFFFFF	-43.95	11.5	1
752	#FFFFFF	-43.5	11.95	1
752	#FFFFFF	-43.05	11.5	1
752	#FFFFFF	-43.5	11.05	1
752	#FFFFFF	-43.95	11.5	1
741	#FFFFFF	-43.45	12	1
741	#FFFFFF	-43	12.45	1
741	#FFFFFF	-42.55	12	1
741	#FFFFFF	-43	11.55	1
741	#FFFFFF	-43.45	12	1
728	#FFFFFF	-42.95	12.5	1
728	#FFFFFF	-42.5	12.95	1
728	#FFFFFF	-42.05	12.5	1
728	#FFFFFF	-42.5	12.05	1
728	#FFFFFF	-42.95	12.5	1
716	#FFFFFF	-42.45	13	1
716	#FFFFFF	-42	13.45	1
716	#FFFFFF	-41.55	13	1
716	#FFFFFF	-42	12.55	1
716	#FFFFFF	-42.45	13	1
703	#FFFFFF	-41.95	13.5	1
703	#FFFFFF	-41.5	13.95	1
703	#FFFFFF	-41.05	13.5	1
703	#FFFFFF	-41.5	13.05	1
703	#FFFFFF	-41.95	13.5	1
690	#FFFFFF	-41.45	14	1
690	#FFFFFF	-41	14.45	1
690	#FFFFFF	-40.55	14	1
690	#FFFFFF	-41	13.55	1
690	#FFFFFF	-41.45	14	1
676	#FFFFFF	-40.95	14.5	1
676	#FFFFFF	-40.5	14.95	1
676	#FFFFFF	-40.05	14.5	1
676	#FFFFFF	-40.5	14.05	1
676	#FFFFFF	-40.95	14.5	1
662	#FFFFFF	-40.45	15	1
662	#FFFFFF	-40	15.45	1
662	#FFFFFF	-39.55	15	1
662	#FFFFFF	-40	14.55	1
662	#FFFFFF	-40.45	15	1
644	#FFFFFF	-39.95	15.5	1
644	#FFFFFF	-39.5	15.95	1
644	#FFFFFF	-39.05	15.5	1
644	#FFFFFF	-39.5	15.05	1
644	#FFFFFF	-39.95	15.5	1
628	#FFFFFF	-39.45	16	1
628	#FFFFFF	-39	16.45	1
628	#FFFFFF	-38.55	16	1
628	#FFFFFF	-39	15.55	1
628	#FFFFFF	-39.45	16	1
612	#FFFFFF	-38.95	16.5	1
612	#FFFFFF	-38.5	16.95	1
612	#FFFFFF	-38.05	16.5	1
612	#FFFFFF	-38.5	16.05	1
612	#FFFFFF	-38.95	16.5	1
596	#FFFFFF	-38.45	17	1
596	#FFFFFF	-38	17.45	1
596	#FFFFFF	-37.55	17	1
596	#FFFFFF	-38	16.55	1
596	#FFFFFF	-38.45	17	1
579	#FFFFFF	-37.95	17.5	1
579	#FFFFFF	-37.5	17.95	1
579	#FFFFFF	-37.05	17.5	1
579	#FFFFFF	-37.5	17.05	1
579	#FFFFFF	-37.95	17.5	1
562	#FFFFFF	-37.45	18	1
562	#FFFFFF	-37	18.45	1
562	#FFFFFF	-36.55	18	1
562	#FFFFFF	-37	17.55	1
562	#FFFFFF	-37.45	18	1
544	#FFFFFF	-36.95	18.5	1
544	#FFFFFF	-36.5	18.95	1
544	#FFFFFF	-36.05	18.5	1
544	#FFFFFF	-36.5	18.05	1
544	#FFFFFF	-36.95	18.5	1
526	#FFFFFF	-36.45	19	1
526	#FFFFFF	-36	19.45	1
526	#FFFFFF	-35.55	19	1
526	#FFFFFF	-36	18.55	1
526	#FFFFFF	-36.45	19	1
507	#FFFFFF	-35.95	19.5	1
507	#FFFFFF	-35.5	19.95	1
507	#FFFFFF	-35.05	19.5	1
