group	x	y	clickSelects	showSelected1
1	-5.25	-0.25	1	2800,0
1	-5.25	0.25	1	2800,0
1	-2.75	2.75	1	2800,0
1	-2.25	2.75	1	2800,0
1	-0.75	1.25	1	2800,0
1	-0.75	0.75	1	2800,0
1	-1.75	-0.25	1	2800,0
1	-3.25	-0.25	1	2800,0
1	-3.25	0.75	1	2800,0
1	-3.75	0.75	1	2800,0
1	-3.75	-0.25	1	2800,0
1	-5.25	-0.25	1	2800,0
1	-44.75	10.25	1	2850,0
1	-44.75	10.75	1	2850,0
1	-34.75	20.75	1	2850,0
1	-34.25	20.75	1	2850,0
1	-34.25	19.75	1	2850,0
1	-33.75	19.25	1	2850,0
1	-32.75	19.25	1	2850,0
1	-31.75	18.25	1	2850,0
1	-31.75	17.75	1	2850,0
1	-44.25	5.25	1	2850,0
1	-44.75	5.25	1	2850,0
1	-44.75	10.25	1	2850,0
2	-1.75	3.25	1	2800,0
2	-1.75	3.75	1	2800,0
2	4.75	10.25	1	2800,0
2	5.25	10.25	1	2800,0
2	5.25	4.75	1	2800,0
2	4.75	4.25	1	2800,0
2	4.25	4.25	1	2800,0
2	3.75	4.75	1	2800,0
2	3.25	4.75	1	2800,0
2	0.75	2.25	1	2800,0
2	-0.75	2.25	1	2800,0
2	-0.75	3.25	1	2800,0
2	-1.75	3.25	1	2800,0
2	-35.75	17.25	1	2850,0
2	-35.75	17.75	1	2850,0
2	-35.25	18.25	1	2850,0
2	-34.75	18.25	1	2850,0
2	-34.25	17.75	1	2850,0
2	-34.25	17.25	1	2850,0
2	-34.75	16.75	1	2850,0
2	-35.25	16.75	1	2850,0
2	-35.75	17.25	1	2850,0
3	-44.75	3.25	1	2850,0
3	-44.75	3.75	1	2850,0
3	-33.25	15.25	1	2850,0
3	-32.25	15.25	1	2850,0
3	-32.25	16.25	1	2850,0
3	-31.25	16.25	1	2850,0
3	-31.25	17.25	1	2850,0
3	-30.75	17.25	1	2850,0
3	-13.75	0.25	1	2850,0
3	-13.75	-0.25	1	2850,0
3	-22.25	-0.25	1	2850,0
3	-27.25	4.75	1	2850,0
3	-27.75	4.75	1	2850,0
3	-32.75	-0.25	1	2850,0
3	-41.25	-0.25	1	2850,0
3	-44.75	3.25	1	2850,0
8	-3.75	0.25	14	2800,0
8	-3.75	0.75	14	2800,0
8	-3.25	0.75	14	2800,0
8	-3.25	0.25	14	2800,0
8	-3.75	0.25	14	2800,0
19	-34.25	19.75	8	2850,0
19	-34.25	20.25	8	2850,0
19	-33.75	20.25	8	2850,0
19	-33.25	19.75	8	2850,0
19	-33.25	19.25	8	2850,0
19	-33.75	19.25	8	2850,0
19	-34.25	19.75	8	2850,0
17	-35.75	17.25	6	2850,0
17	-35.75	17.75	6	2850,0
17	-35.25	17.75	6	2850,0
17	-34.75	17.25	6	2850,0
17	-34.75	16.75	6	2850,0
17	-35.25	16.75	6	2850,0
17	-35.75	17.25	6	2850,0
9	-35.25	17.75	15	2850,0
9	-35.25	18.25	15	2850,0
9	-34.75	18.25	15	2850,0
9	-34.75	17.75	15	2850,0
9	-35.25	17.75	15	2850,0
5	-0.25	1.75	11	2800,0
5	-0.25	2.25	11	2800,0
5	0.25	2.25	11	2800,0
5	0.25	1.75	11	2800,0
5	-0.25	1.75	11	2800,0
10	-34.75	17.25	16	2850,0
10	-34.75	17.75	16	2850,0
10	-34.25	17.75	16	2850,0
10	-34.25	17.25	16	2850,0
10	-34.75	17.25	16	2850,0
20	-1.25	-0.25	9	2800,0
20	-1.25	0.25	9	2800,0
20	-0.75	0.75	9	2800,0
20	-0.25	0.75	9	2800,0
20	0.25	0.25	9	2800,0
20	0.25	-0.25	9	2800,0
20	-1.25	-0.25	9	2800,0
15	0.25	1.25	4	2800,0
15	0.25	1.75	4	2800,0
15	0.75	1.75	4	2800,0
15	1.25	1.25	4	2800,0
15	1.25	0.75	4	2800,0
15	0.75	0.75	4	2800,0
15	0.25	1.25	4	2800,0
13	0.75	1.75	3	2800,0
13	0.75	2.25	3	2800,0
13	3.25	4.75	3	2800,0
13	3.75	4.75	3	2800,0
13	4.25	4.25	3	2800,0
13	4.25	3.75	3	2800,0
13	1.75	1.25	3	2800,0
13	1.25	1.25	3	2800,0
13	0.75	1.75	3	2800,0
14	1.75	-0.25	3	2800,0
14	1.75	0.25	3	2800,0
14	2.25	0.75	3	2800,0
14	2.75	0.75	3	2800,0
14	2.75	0.25	3	2800,0
14	2.25	-0.25	3	2800,0
14	1.75	-0.25	3	2800,0
7	-42.75	6.25	13	2850,0
7	-42.75	6.75	13	2850,0
7	-42.25	6.75	13	2850,0
7	-42.25	6.25	13	2850,0
7	-42.75	6.25	13	2850,0
12	2.75	0.75	2	2800,0
12	2.75	1.25	2	2800,0
12	4.75	3.25	2	2800,0
12	5.25	3.25	2	2800,0
12	5.25	2.75	2	2800,0
12	3.25	0.75	2	2800,0
12	2.75	0.75	2	2800,0
6	-32.75	15.25	12	2850,0
6	-32.75	15.75	12	2850,0
6	-32.25	15.75	12	2850,0
6	-32.25	15.25	12	2850,0
6	-32.75	15.25	12	2850,0
11	-31.75	16.25	17	2850,0
11	-31.75	16.75	17	2850,0
11	-31.25	16.75	17	2850,0
11	-31.25	16.25	17	2850,0
11	-31.75	16.25	17	2850,0
16	2.75	-0.25	5	2800,0
16	2.75	0.25	5	2800,0
16	4.75	2.25	5	2800,0
16	5.25	2.25	5	2800,0
16	5.25	-0.25	5	2800,0
16	2.75	-0.25	5	2800,0
16	-44.75	2.25	5	2850,0
16	-44.75	2.75	5	2850,0
16	-44.25	2.75	5	2850,0
16	-41.75	0.25	5	2850,0
16	-41.75	-0.25	5	2850,0
16	-44.25	-0.25	5	2850,0
16	-44.75	0.25	5	2850,0
16	-44.75	2.25	5	2850,0
4	-32.25	-0.25	10	2850,0
4	-32.25	0.25	10	2850,0
4	-30.25	2.25	10	2850,0
4	-28.75	2.25	10	2850,0
4	-28.25	1.75	10	2850,0
4	-27.75	1.75	10	2850,0
4	-27.25	2.25	10	2850,0
4	-27.25	3.25	10	2850,0
4	-25.75	3.25	10	2850,0
4	-22.75	0.25	10	2850,0
4	-22.75	-0.25	10	2850,0
4	-32.25	-0.25	10	2850,0
18	-29.75	2.25	7	2850,0
18	-29.75	2.75	7	2850,0
18	-27.75	4.75	7	2850,0
18	-27.25	4.75	7	2850,0
18	-26.25	3.75	7	2850,0
18	-26.25	3.25	7	2850,0
18	-27.25	3.25	7	2850,0
18	-27.25	2.25	7	2850,0
18	-27.75	1.75	7	2850,0
18	-28.25	1.75	7	2850,0
18	-28.75	2.25	7	2850,0
18	-29.75	2.25	7	2850,0
